CMDLINE c:\users\saeed\miniconda3\envs\tf_v2\python.exe Torch_BigData_Dataset.py
MEM 96.417969 1594891232.5990
MEM 95.050781 1594891232.7000
MEM 93.167969 1594891232.8010
MEM 93.167969 1594891232.9010
MEM 93.171875 1594891233.0170
MEM 93.167969 1594891233.1180
MEM 92.667969 1594891233.2370
MEM 92.664062 1594891233.3370
MEM 96.855469 1594891233.4550
MEM 95.957031 1594891233.5550
MEM 93.726562 1594891233.6560
MEM 92.664062 1594891233.7560
MEM 93.171875 1594891233.8570
MEM 93.167969 1594891233.9580
MEM 93.171875 1594891234.0590
MEM 93.167969 1594891234.1600
MEM 92.667969 1594891234.2690
MEM 92.664062 1594891234.3690
MEM 94.300781 1594891234.4690
MEM 92.664062 1594891234.5710
MEM 97.585938 1594891234.6720
MEM 95.214844 1594891234.7740
MEM 93.117188 1594891234.8750
MEM 93.113281 1594891234.9750
MEM 93.117188 1594891235.0760
MEM 93.113281 1594891235.1760
MEM 93.117188 1594891235.2790
MEM 93.113281 1594891235.3790
MEM 95.785156 1594891235.4810
MEM 95.238281 1594891235.5810
MEM 95.570312 1594891235.6820
MEM 94.800781 1594891235.7820
MEM 93.113281 1594891235.8840
MEM 98.082031 1594891235.9850
MEM 94.835938 1594891236.0850
MEM 93.113281 1594891236.1850
MEM 93.117188 1594891236.2860
MEM 93.113281 1594891236.3950
MEM 98.765625 1594891236.5100
MEM 92.609375 1594891236.6110
MEM 92.609375 1594891236.7110
MEM 95.242188 1594891236.8110
MEM 96.402344 1594891236.9120
MEM 92.609375 1594891237.0120
MEM 93.117188 1594891237.1130
MEM 96.363281 1594891237.2140
MEM 98.781250 1594891237.3150
MEM 95.738281 1594891237.4160
MEM 93.574219 1594891237.5160
MEM 92.609375 1594891237.6170
MEM 95.859375 1594891237.7170
MEM 95.359375 1594891237.8170
MEM 94.546875 1594891237.9180
MEM 94.203125 1594891238.0190
MEM 93.117188 1594891238.1190
MEM 93.113281 1594891238.2430
MEM 93.113281 1594891238.3430
MEM 94.148438 1594891238.4470
MEM 93.113281 1594891238.5470
MEM 95.500000 1594891238.6480
MEM 94.175781 1594891238.7490
MEM 92.613281 1594891238.8530
MEM 92.617188 1594891238.9530
MEM 98.734375 1594891239.0550
MEM 92.617188 1594891239.1610
MEM 92.617188 1594891239.2660
MEM 93.121094 1594891239.3960
MEM 93.121094 1594891239.5250
MEM 93.195312 1594891239.6270
